,frame,x,y,r,name,sample_rate,examplenr
0,1,560,558,244,framenr_1_framevid_June12_03,25.0,exp2
1,2,668,806,241,framenr_2_framevid_June12_03,25.0,exp2
2,3,636,864,180,framenr_3_framevid_June12_03,25.0,exp2
3,4,686,840,186,framenr_4_framevid_June12_03,25.0,exp2
4,5,816,710,157,framenr_5_framevid_June12_03,25.0,exp2
5,6,748,826,148,framenr_6_framevid_June12_03,25.0,exp2
6,7,794,774,175,framenr_7_framevid_June12_03,25.0,exp2
7,8,870,440,200,framenr_8_framevid_June12_03,25.0,exp2
8,9,824,694,148,framenr_9_framevid_June12_03,25.0,exp2
9,10,870,590,233,framenr_10_framevid_June12_03,25.0,exp2
10,11,884,564,240,framenr_11_framevid_June12_03,25.0,exp2
11,12,818,656,144,framenr_12_framevid_June12_03,25.0,exp2
12,13,842,578,198,framenr_13_framevid_June12_03,25.0,exp2
13,14,816,542,209,framenr_14_framevid_June12_03,25.0,exp2
14,15,810,536,181,framenr_15_framevid_June12_03,25.0,exp2
15,16,784,524,162,framenr_16_framevid_June12_03,25.0,exp2
16,17,752,474,144,framenr_17_framevid_June12_03,25.0,exp2
17,18,746,476,140,framenr_18_framevid_June12_03,25.0,exp2
18,19,696,380,258,framenr_19_framevid_June12_03,25.0,exp2
19,20,736,438,191,framenr_20_framevid_June12_03,25.0,exp2
20,21,788,432,200,framenr_21_framevid_June12_03,25.0,exp2
21,22,762,500,162,framenr_22_framevid_June12_03,25.0,exp2
22,23,666,308,231,framenr_23_framevid_June12_03,25.0,exp2
23,24,932,194,194,framenr_24_framevid_June12_03,25.0,exp2
24,25,950,182,174,framenr_25_framevid_June12_03,25.0,exp2
25,26,688,300,179,framenr_26_framevid_June12_03,25.0,exp2
26,27,904,514,236,framenr_27_framevid_June12_03,25.0,exp2
27,28,1016,494,171,framenr_28_framevid_June12_03,25.0,exp2
28,29,1006,502,155,framenr_29_framevid_June12_03,25.0,exp2
29,30,868,218,205,framenr_30_framevid_June12_03,25.0,exp2
30,31,910,542,178,framenr_31_framevid_June12_03,25.0,exp2
31,32,918,536,222,framenr_32_framevid_June12_03,25.0,exp2
32,33,922,584,173,framenr_33_framevid_June12_03,25.0,exp2
33,34,924,586,167,framenr_34_framevid_June12_03,25.0,exp2
34,35,916,580,165,framenr_35_framevid_June12_03,25.0,exp2
35,36,904,544,196,framenr_36_framevid_June12_03,25.0,exp2
36,37,876,560,175,framenr_37_framevid_June12_03,25.0,exp2
37,38,918,470,260,framenr_38_framevid_June12_03,25.0,exp2
38,39,822,558,180,framenr_39_framevid_June12_03,25.0,exp2
39,40,904,466,164,framenr_40_framevid_June12_03,25.0,exp2
40,41,878,476,159,framenr_41_framevid_June12_03,25.0,exp2
41,42,868,484,165,framenr_42_framevid_June12_03,25.0,exp2
42,43,816,498,255,framenr_43_framevid_June12_03,25.0,exp2
43,44,872,516,189,framenr_44_framevid_June12_03,25.0,exp2
44,45,746,662,168,framenr_45_framevid_June12_03,25.0,exp2
45,46,742,698,164,framenr_46_framevid_June12_03,25.0,exp2
46,47,750,700,195,framenr_47_framevid_June12_03,25.0,exp2
47,48,764,744,181,framenr_48_framevid_June12_03,25.0,exp2
48,49,782,774,176,framenr_49_framevid_June12_03,25.0,exp2
49,50,832,758,201,framenr_50_framevid_June12_03,25.0,exp2
50,51,856,740,243,framenr_51_framevid_June12_03,25.0,exp2
51,52,834,792,232,framenr_52_framevid_June12_03,25.0,exp2
52,53,844,848,198,framenr_53_framevid_June12_03,25.0,exp2
53,54,748,818,188,framenr_54_framevid_June12_03,25.0,exp2
54,55,854,528,227,framenr_55_framevid_June12_03,25.0,exp2
55,56,748,878,150,framenr_56_framevid_June12_03,25.0,exp2
56,57,842,570,210,framenr_57_framevid_June12_03,25.0,exp2
57,58,848,614,244,framenr_58_framevid_June12_03,25.0,exp2
58,59,662,558,222,framenr_59_framevid_June12_03,25.0,exp2
59,60,492,278,140,framenr_60_framevid_June12_03,25.0,exp2
60,61,606,460,233,framenr_61_framevid_June12_03,25.0,exp2
61,62,604,492,219,framenr_62_framevid_June12_03,25.0,exp2
62,63,716,522,241,framenr_63_framevid_June12_03,25.0,exp2
63,64,814,566,266,framenr_64_framevid_June12_03,25.0,exp2
64,65,800,558,260,framenr_65_framevid_June12_03,25.0,exp2
65,66,888,556,245,framenr_66_framevid_June12_03,25.0,exp2
66,67,902,874,228,framenr_67_framevid_June12_03,25.0,exp2
67,68,828,576,267,framenr_68_framevid_June12_03,25.0,exp2
68,69,848,762,255,framenr_69_framevid_June12_03,25.0,exp2
69,70,762,808,187,framenr_70_framevid_June12_03,25.0,exp2
70,71,740,728,231,framenr_71_framevid_June12_03,25.0,exp2
71,72,704,672,250,framenr_72_framevid_June12_03,25.0,exp2
72,73,430,598,133,framenr_73_framevid_June12_03,25.0,exp2
73,74,620,694,146,framenr_74_framevid_June12_03,25.0,exp2
74,75,606,674,177,framenr_75_framevid_June12_03,25.0,exp2
75,76,596,680,135,framenr_76_framevid_June12_03,25.0,exp2
76,77,600,672,140,framenr_77_framevid_June12_03,25.0,exp2
77,78,614,658,154,framenr_78_framevid_June12_03,25.0,exp2
