,frame,x,y,r,name,sample_rate,examplenr
0,1,515,435,220,framenr_1_framevid_June09_02,25.0,exp1
1,2,495,363,251,framenr_2_framevid_June09_02,25.0,exp1
2,3,505,337,269,framenr_3_framevid_June09_02,25.0,exp1
3,4,607,333,220,framenr_4_framevid_June09_02,25.0,exp1
4,5,595,311,203,framenr_5_framevid_June09_02,25.0,exp1
5,6,595,327,222,framenr_6_framevid_June09_02,25.0,exp1
6,7,537,343,268,framenr_7_framevid_June09_02,25.0,exp1
7,8,559,421,239,framenr_8_framevid_June09_02,25.0,exp1
8,9,579,365,243,framenr_9_framevid_June09_02,25.0,exp1
9,10,537,349,268,framenr_10_framevid_June09_02,25.0,exp1
10,11,921,357,230,framenr_11_framevid_June09_02,25.0,exp1
11,12,567,371,245,framenr_12_framevid_June09_02,25.0,exp1
12,13,571,381,229,framenr_13_framevid_June09_02,25.0,exp1
13,14,675,549,269,framenr_14_framevid_June09_02,25.0,exp1
14,15,607,619,253,framenr_15_framevid_June09_02,25.0,exp1
15,16,583,413,264,framenr_16_framevid_June09_02,25.0,exp1
16,17,597,417,261,framenr_17_framevid_June09_02,25.0,exp1
17,18,585,427,264,framenr_18_framevid_June09_02,25.0,exp1
18,19,561,435,269,framenr_19_framevid_June09_02,25.0,exp1
19,20,587,337,233,framenr_20_framevid_June09_02,25.0,exp1
20,21,669,435,193,framenr_21_framevid_June09_02,25.0,exp1
21,22,617,613,255,framenr_22_framevid_June09_02,25.0,exp1
22,23,631,655,191,framenr_23_framevid_June09_02,25.0,exp1
23,24,661,583,241,framenr_24_framevid_June09_02,25.0,exp1
24,25,677,631,258,framenr_25_framevid_June09_02,25.0,exp1
25,26,959,331,181,framenr_26_framevid_June09_02,25.0,exp1
26,27,563,503,255,framenr_27_framevid_June09_02,25.0,exp1
27,28,687,607,225,framenr_28_framevid_June09_02,25.0,exp1
28,29,649,543,267,framenr_29_framevid_June09_02,25.0,exp1
29,30,609,501,248,framenr_30_framevid_June09_02,25.0,exp1
30,31,889,403,250,framenr_31_framevid_June09_02,25.0,exp1
31,32,685,545,243,framenr_32_framevid_June09_02,25.0,exp1
32,33,685,541,243,framenr_33_framevid_June09_02,25.0,exp1
33,34,705,549,227,framenr_34_framevid_June09_02,25.0,exp1
34,35,663,585,209,framenr_35_framevid_June09_02,25.0,exp1
35,36,689,547,233,framenr_36_framevid_June09_02,25.0,exp1
36,37,675,621,253,framenr_37_framevid_June09_02,25.0,exp1
37,38,619,475,244,framenr_38_framevid_June09_02,25.0,exp1
38,39,695,581,209,framenr_39_framevid_June09_02,25.0,exp1
39,40,669,639,233,framenr_40_framevid_June09_02,25.0,exp1
40,41,953,327,182,framenr_41_framevid_June09_02,25.0,exp1
41,42,687,529,269,framenr_42_framevid_June09_02,25.0,exp1
42,43,681,559,264,framenr_43_framevid_June09_02,25.0,exp1
43,44,653,645,264,framenr_44_framevid_June09_02,25.0,exp1
44,45,663,559,260,framenr_45_framevid_June09_02,25.0,exp1
45,46,731,433,260,framenr_46_framevid_June09_02,25.0,exp1
46,47,637,399,255,framenr_47_framevid_June09_02,25.0,exp1
47,48,699,631,248,framenr_48_framevid_June09_02,25.0,exp1
48,49,689,279,176,framenr_49_framevid_June09_02,25.0,exp1
49,50,773,629,213,framenr_50_framevid_June09_02,25.0,exp1
50,51,773,583,264,framenr_51_framevid_June09_02,25.0,exp1
51,52,761,603,237,framenr_52_framevid_June09_02,25.0,exp1
52,53,785,583,263,framenr_53_framevid_June09_02,25.0,exp1
53,54,779,593,247,framenr_54_framevid_June09_02,25.0,exp1
54,55,779,593,243,framenr_55_framevid_June09_02,25.0,exp1
55,56,801,577,261,framenr_56_framevid_June09_02,25.0,exp1
56,57,783,611,219,framenr_57_framevid_June09_02,25.0,exp1
57,58,821,577,267,framenr_58_framevid_June09_02,25.0,exp1
58,59,553,479,231,framenr_59_framevid_June09_02,25.0,exp1
59,60,813,585,250,framenr_60_framevid_June09_02,25.0,exp1
60,61,819,577,253,framenr_61_framevid_June09_02,25.0,exp1
61,62,795,599,219,framenr_62_framevid_June09_02,25.0,exp1
62,63,815,569,248,framenr_63_framevid_June09_02,25.0,exp1
63,64,799,583,222,framenr_64_framevid_June09_02,25.0,exp1
64,65,623,483,255,framenr_65_framevid_June09_02,25.0,exp1
65,66,819,549,256,framenr_66_framevid_June09_02,25.0,exp1
66,67,797,573,221,framenr_67_framevid_June09_02,25.0,exp1
67,68,803,571,228,framenr_68_framevid_June09_02,25.0,exp1
68,69,811,553,251,framenr_69_framevid_June09_02,25.0,exp1
69,70,803,561,232,framenr_70_framevid_June09_02,25.0,exp1
70,71,651,453,252,framenr_71_framevid_June09_02,25.0,exp1
71,72,851,595,205,framenr_72_framevid_June09_02,25.0,exp1
72,73,825,543,242,framenr_73_framevid_June09_02,25.0,exp1
73,74,833,519,258,framenr_74_framevid_June09_02,25.0,exp1
74,75,833,499,269,framenr_75_framevid_June09_02,25.0,exp1
75,76,827,557,231,framenr_76_framevid_June09_02,25.0,exp1
76,77,575,409,167,framenr_77_framevid_June09_02,25.0,exp1
77,78,833,523,263,framenr_78_framevid_June09_02,25.0,exp1
78,79,795,593,201,framenr_79_framevid_June09_02,25.0,exp1
79,80,837,571,252,framenr_80_framevid_June09_02,25.0,exp1
80,81,605,417,198,framenr_81_framevid_June09_02,25.0,exp1
81,82,843,523,269,framenr_82_framevid_June09_02,25.0,exp1
82,83,783,537,213,framenr_83_framevid_June09_02,25.0,exp1
83,84,783,549,209,framenr_84_framevid_June09_02,25.0,exp1
84,85,819,535,241,framenr_85_framevid_June09_02,25.0,exp1
85,86,799,543,225,framenr_86_framevid_June09_02,25.0,exp1
86,87,825,527,246,framenr_87_framevid_June09_02,25.0,exp1
87,88,781,527,220,framenr_88_framevid_June09_02,25.0,exp1
88,89,903,417,248,framenr_89_framevid_June09_02,25.0,exp1
89,90,783,575,222,framenr_90_framevid_June09_02,25.0,exp1
90,91,797,587,231,framenr_91_framevid_June09_02,25.0,exp1
91,92,575,441,187,framenr_92_framevid_June09_02,25.0,exp1
92,93,883,581,238,framenr_93_framevid_June09_02,25.0,exp1
93,94,807,619,209,framenr_94_framevid_June09_02,25.0,exp1
94,95,823,623,252,framenr_95_framevid_June09_02,25.0,exp1
95,96,903,659,269,framenr_96_framevid_June09_02,25.0,exp1
96,97,541,541,253,framenr_97_framevid_June09_02,25.0,exp1
97,98,863,431,263,framenr_98_framevid_June09_02,25.0,exp1
98,99,887,547,210,framenr_99_framevid_June09_02,25.0,exp1
99,100,907,513,189,framenr_100_framevid_June09_02,25.0,exp1
100,101,865,425,252,framenr_101_framevid_June09_02,25.0,exp1
101,102,625,545,172,framenr_102_framevid_June09_02,25.0,exp1
102,103,569,427,172,framenr_103_framevid_June09_02,25.0,exp1
103,104,651,457,206,framenr_104_framevid_June09_02,25.0,exp1
104,105,571,465,200,framenr_105_framevid_June09_02,25.0,exp1
105,106,761,573,182,framenr_106_framevid_June09_02,25.0,exp1
106,107,855,345,235,framenr_107_framevid_June09_02,25.0,exp1
107,108,635,465,253,framenr_108_framevid_June09_02,25.0,exp1
108,109,857,339,236,framenr_109_framevid_June09_02,25.0,exp1
109,110,859,337,241,framenr_110_framevid_June09_02,25.0,exp1
110,111,585,433,224,framenr_111_framevid_June09_02,25.0,exp1
111,112,639,407,243,framenr_112_framevid_June09_02,25.0,exp1
112,113,687,665,200,framenr_113_framevid_June09_02,25.0,exp1
113,114,493,405,196,framenr_114_framevid_June09_02,25.0,exp1
