,frame,x,y,r,name,sample_rate,examplenr
0,1,1103,539,218,framenr_1_framevid_June16_02,25.0,exp2
1,2,1079,557,192,framenr_2_framevid_June16_02,25.0,exp2
2,3,1061,579,174,framenr_3_framevid_June16_02,25.0,exp2
3,4,1069,571,183,framenr_4_framevid_June16_02,25.0,exp2
4,5,1123,549,237,framenr_5_framevid_June16_02,25.0,exp2
5,6,1109,567,209,framenr_6_framevid_June16_02,25.0,exp2
6,7,1113,549,224,framenr_7_framevid_June16_02,25.0,exp2
7,8,1121,563,218,framenr_8_framevid_June16_02,25.0,exp2
8,9,1103,545,209,framenr_9_framevid_June16_02,25.0,exp2
9,10,1101,543,204,framenr_10_framevid_June16_02,25.0,exp2
10,11,1113,541,215,framenr_11_framevid_June16_02,25.0,exp2
11,12,887,427,181,framenr_12_framevid_June16_02,25.0,exp2
12,13,1093,533,193,framenr_13_framevid_June16_02,25.0,exp2
13,14,1091,531,191,framenr_14_framevid_June16_02,25.0,exp2
14,15,1109,525,208,framenr_15_framevid_June16_02,25.0,exp2
15,16,1113,523,212,framenr_16_framevid_June16_02,25.0,exp2
16,17,1101,525,200,framenr_17_framevid_June16_02,25.0,exp2
17,18,1107,527,205,framenr_18_framevid_June16_02,25.0,exp2
18,19,1089,535,191,framenr_19_framevid_June16_02,25.0,exp2
19,20,1081,537,196,framenr_20_framevid_June16_02,25.0,exp2
20,21,1063,561,180,framenr_21_framevid_June16_02,25.0,exp2
21,22,1011,339,76,framenr_22_framevid_June16_02,25.0,exp2
22,23,917,415,241,framenr_23_framevid_June16_02,25.0,exp2
23,24,959,623,145,framenr_24_framevid_June16_02,25.0,exp2
24,25,999,641,191,framenr_25_framevid_June16_02,25.0,exp2
25,26,931,651,110,framenr_26_framevid_June16_02,25.0,exp2
26,27,991,645,166,framenr_27_framevid_June16_02,25.0,exp2
27,28,971,677,134,framenr_28_framevid_June16_02,25.0,exp2
28,29,1039,659,226,framenr_29_framevid_June16_02,25.0,exp2
29,30,941,601,192,framenr_30_framevid_June16_02,25.0,exp2
30,31,995,687,116,framenr_31_framevid_June16_02,25.0,exp2
31,32,985,733,123,framenr_32_framevid_June16_02,25.0,exp2
32,33,1007,729,141,framenr_33_framevid_June16_02,25.0,exp2
33,34,1061,599,184,framenr_34_framevid_June16_02,25.0,exp2
34,35,891,229,250,framenr_35_framevid_June16_02,25.0,exp2
35,36,979,605,195,framenr_36_framevid_June16_02,25.0,exp2
36,37,1053,711,174,framenr_37_framevid_June16_02,25.0,exp2
