,frame,x,y,r,name,sample_rate,examplenr
0,1,1033,805,208,framenr_1_framevid_June12_02,25.0,exp4
1,2,1017,213,169,framenr_2_framevid_June12_02,25.0,exp4
2,3,1047,187,105,framenr_3_framevid_June12_02,25.0,exp4
3,4,1055,173,110,framenr_4_framevid_June12_02,25.0,exp4
4,5,965,245,242,framenr_5_framevid_June12_02,25.0,exp4
5,6,779,389,146,framenr_6_framevid_June12_02,25.0,exp4
6,7,1051,259,255,framenr_7_framevid_June12_02,25.0,exp4
7,8,973,259,255,framenr_8_framevid_June12_02,25.0,exp4
8,9,987,247,243,framenr_9_framevid_June12_02,25.0,exp4
9,10,985,237,246,framenr_10_framevid_June12_02,25.0,exp4
10,11,1003,231,252,framenr_11_framevid_June12_02,25.0,exp4
11,12,1051,231,218,framenr_12_framevid_June12_02,25.0,exp4
12,13,1015,213,262,framenr_13_framevid_June12_02,25.0,exp4
13,14,1003,217,269,framenr_14_framevid_June12_02,25.0,exp4
14,15,1067,269,191,framenr_15_framevid_June12_02,25.0,exp4
15,16,1055,271,205,framenr_16_framevid_June12_02,25.0,exp4
16,17,1061,275,200,framenr_17_framevid_June12_02,25.0,exp4
17,18,1069,275,177,framenr_18_framevid_June12_02,25.0,exp4
18,19,1007,241,256,framenr_19_framevid_June12_02,25.0,exp4
19,20,1011,237,251,framenr_20_framevid_June12_02,25.0,exp4
20,21,1025,237,225,framenr_21_framevid_June12_02,25.0,exp4
21,22,1025,247,232,framenr_22_framevid_June12_02,25.0,exp4
22,23,1001,229,260,framenr_23_framevid_June12_02,25.0,exp4
23,24,1021,245,233,framenr_24_framevid_June12_02,25.0,exp4
24,25,1033,253,218,framenr_25_framevid_June12_02,25.0,exp4
25,26,1013,231,232,framenr_26_framevid_June12_02,25.0,exp4
26,27,1019,245,232,framenr_27_framevid_June12_02,25.0,exp4
27,28,1043,279,192,framenr_28_framevid_June12_02,25.0,exp4
28,29,1019,259,226,framenr_29_framevid_June12_02,25.0,exp4
29,30,1087,279,152,framenr_30_framevid_June12_02,25.0,exp4
30,31,1019,271,222,framenr_31_framevid_June12_02,25.0,exp4
31,32,1033,253,212,framenr_32_framevid_June12_02,25.0,exp4
32,33,1093,275,144,framenr_33_framevid_June12_02,25.0,exp4
33,34,1115,263,159,framenr_34_framevid_June12_02,25.0,exp4
34,35,1035,257,228,framenr_35_framevid_June12_02,25.0,exp4
35,36,1065,239,238,framenr_36_framevid_June12_02,25.0,exp4
36,37,1155,235,174,framenr_37_framevid_June12_02,25.0,exp4
37,38,1067,249,244,framenr_38_framevid_June12_02,25.0,exp4
38,39,1159,293,197,framenr_39_framevid_June12_02,25.0,exp4
39,40,1107,221,174,framenr_40_framevid_June12_02,25.0,exp4
40,41,1077,291,245,framenr_41_framevid_June12_02,25.0,exp4
41,42,1097,301,227,framenr_42_framevid_June12_02,25.0,exp4
42,43,1119,259,171,framenr_43_framevid_June12_02,25.0,exp4
43,44,1187,329,155,framenr_44_framevid_June12_02,25.0,exp4
44,45,1089,227,56,framenr_45_framevid_June12_02,25.0,exp4
45,46,1207,197,76,framenr_46_framevid_June12_02,25.0,exp4
46,47,1167,205,81,framenr_47_framevid_June12_02,25.0,exp4
47,48,1195,215,76,framenr_48_framevid_June12_02,25.0,exp4
48,49,1207,197,67,framenr_49_framevid_June12_02,25.0,exp4
49,50,1185,183,88,framenr_50_framevid_June12_02,25.0,exp4
50,51,1173,131,98,framenr_51_framevid_June12_02,25.0,exp4
51,52,1139,225,160,framenr_52_framevid_June12_02,25.0,exp4
52,53,1149,181,84,framenr_53_framevid_June12_02,25.0,exp4
53,54,1061,289,228,framenr_54_framevid_June12_02,25.0,exp4
54,55,1055,309,231,framenr_55_framevid_June12_02,25.0,exp4
55,56,1023,331,247,framenr_56_framevid_June12_02,25.0,exp4
56,57,1003,349,250,framenr_57_framevid_June12_02,25.0,exp4
57,58,1115,349,208,framenr_58_framevid_June12_02,25.0,exp4
58,59,987,423,250,framenr_59_framevid_June12_02,25.0,exp4
59,60,1045,481,191,framenr_60_framevid_June12_02,25.0,exp4
60,61,1129,457,259,framenr_61_framevid_June12_02,25.0,exp4
61,62,1075,555,198,framenr_62_framevid_June12_02,25.0,exp4
62,63,1079,573,208,framenr_63_framevid_June12_02,25.0,exp4
