,frame,x,y,r,name,sample_rate,examplenr
0,1,686,716,230,framenr_1_framevid_June12_03,25.0,exp1
1,2,670,750,161,framenr_2_framevid_June12_03,25.0,exp1
2,3,640,858,185,framenr_3_framevid_June12_03,25.0,exp1
3,4,686,836,189,framenr_4_framevid_June12_03,25.0,exp1
4,5,726,820,181,framenr_5_framevid_June12_03,25.0,exp1
5,6,768,800,176,framenr_6_framevid_June12_03,25.0,exp1
6,7,910,634,188,framenr_7_framevid_June12_03,25.0,exp1
7,8,806,294,261,framenr_8_framevid_June12_03,25.0,exp1
8,9,814,730,148,framenr_9_framevid_June12_03,25.0,exp1
9,10,828,692,160,framenr_10_framevid_June12_03,25.0,exp1
10,11,830,658,169,framenr_11_framevid_June12_03,25.0,exp1
11,12,866,558,214,framenr_12_framevid_June12_03,25.0,exp1
12,13,850,576,205,framenr_13_framevid_June12_03,25.0,exp1
13,14,810,612,137,framenr_14_framevid_June12_03,25.0,exp1
14,15,806,558,158,framenr_15_framevid_June12_03,25.0,exp1
15,16,786,518,168,framenr_16_framevid_June12_03,25.0,exp1
16,17,928,364,173,framenr_17_framevid_June12_03,25.0,exp1
17,18,742,480,155,framenr_18_framevid_June12_03,25.0,exp1
18,19,718,488,136,framenr_19_framevid_June12_03,25.0,exp1
19,20,630,256,243,framenr_20_framevid_June12_03,25.0,exp1
20,21,750,466,177,framenr_21_framevid_June12_03,25.0,exp1
21,22,892,256,235,framenr_22_framevid_June12_03,25.0,exp1
22,23,788,520,160,framenr_23_framevid_June12_03,25.0,exp1
23,24,806,544,154,framenr_24_framevid_June12_03,25.0,exp1
24,25,898,470,234,framenr_25_framevid_June12_03,25.0,exp1
25,26,696,352,200,framenr_26_framevid_June12_03,25.0,exp1
26,27,698,356,154,framenr_27_framevid_June12_03,25.0,exp1
27,28,934,534,210,framenr_28_framevid_June12_03,25.0,exp1
28,29,724,392,190,framenr_29_framevid_June12_03,25.0,exp1
29,30,694,302,98,framenr_30_framevid_June12_03,25.0,exp1
30,31,750,440,217,framenr_31_framevid_June12_03,25.0,exp1
31,32,926,536,221,framenr_32_framevid_June12_03,25.0,exp1
32,33,904,622,129,framenr_33_framevid_June12_03,25.0,exp1
33,34,906,532,209,framenr_34_framevid_June12_03,25.0,exp1
34,35,946,542,211,framenr_35_framevid_June12_03,25.0,exp1
35,36,756,456,193,framenr_36_framevid_June12_03,25.0,exp1
36,37,884,544,189,framenr_37_framevid_June12_03,25.0,exp1
37,38,904,484,243,framenr_38_framevid_June12_03,25.0,exp1
38,39,942,458,175,framenr_39_framevid_June12_03,25.0,exp1
39,40,910,466,167,framenr_40_framevid_June12_03,25.0,exp1
40,41,896,464,177,framenr_41_framevid_June12_03,25.0,exp1
41,42,872,484,165,framenr_42_framevid_June12_03,25.0,exp1
42,43,740,624,140,framenr_43_framevid_June12_03,25.0,exp1
43,44,748,606,187,framenr_44_framevid_June12_03,25.0,exp1
44,45,748,658,172,framenr_45_framevid_June12_03,25.0,exp1
45,46,752,678,185,framenr_46_framevid_June12_03,25.0,exp1
46,47,750,710,184,framenr_47_framevid_June12_03,25.0,exp1
47,48,764,724,166,framenr_48_framevid_June12_03,25.0,exp1
48,49,782,780,171,framenr_49_framevid_June12_03,25.0,exp1
49,50,798,804,171,framenr_50_framevid_June12_03,25.0,exp1
50,51,812,828,172,framenr_51_framevid_June12_03,25.0,exp1
51,52,828,840,185,framenr_52_framevid_June12_03,25.0,exp1
52,53,708,542,268,framenr_53_framevid_June12_03,25.0,exp1
53,54,576,444,220,framenr_54_framevid_June12_03,25.0,exp1
54,55,446,236,143,framenr_55_framevid_June12_03,25.0,exp1
55,56,690,472,237,framenr_56_framevid_June12_03,25.0,exp1
56,57,740,934,105,framenr_57_framevid_June12_03,25.0,exp1
57,58,594,490,240,framenr_58_framevid_June12_03,25.0,exp1
58,59,618,490,215,framenr_59_framevid_June12_03,25.0,exp1
59,60,654,376,103,framenr_60_framevid_June12_03,25.0,exp1
60,61,588,518,253,framenr_61_framevid_June12_03,25.0,exp1
61,62,620,476,200,framenr_62_framevid_June12_03,25.0,exp1
62,63,560,524,172,framenr_63_framevid_June12_03,25.0,exp1
63,64,644,508,204,framenr_64_framevid_June12_03,25.0,exp1
64,65,694,500,239,framenr_65_framevid_June12_03,25.0,exp1
65,66,610,486,184,framenr_66_framevid_June12_03,25.0,exp1
66,67,588,452,199,framenr_67_framevid_June12_03,25.0,exp1
67,68,622,472,205,framenr_68_framevid_June12_03,25.0,exp1
68,69,794,840,190,framenr_69_framevid_June12_03,25.0,exp1
69,70,764,814,179,framenr_70_framevid_June12_03,25.0,exp1
70,71,626,688,202,framenr_71_framevid_June12_03,25.0,exp1
71,72,760,654,268,framenr_72_framevid_June12_03,25.0,exp1
72,73,440,254,179,framenr_73_framevid_June12_03,25.0,exp1
73,74,618,698,144,framenr_74_framevid_June12_03,25.0,exp1
74,75,606,676,151,framenr_75_framevid_June12_03,25.0,exp1
75,76,590,684,157,framenr_76_framevid_June12_03,25.0,exp1
76,77,562,212,197,framenr_77_framevid_June12_03,25.0,exp1
77,78,612,662,153,framenr_78_framevid_June12_03,25.0,exp1
78,79,632,666,179,framenr_79_framevid_June12_03,25.0,exp1
79,80,646,670,161,framenr_80_framevid_June12_03,25.0,exp1
80,81,666,718,125,framenr_81_framevid_June12_03,25.0,exp1
81,82,628,274,243,framenr_82_framevid_June12_03,25.0,exp1
82,83,674,230,188,framenr_83_framevid_June12_03,25.0,exp1
83,84,826,650,256,framenr_84_framevid_June12_03,25.0,exp1
