 ,Label,X,Y,Perim.
1,Batch31:framenr_253_framevid_June12_02.jpeg,46.000,44.000,43.982
2,Batch31:framenr_253_framevid_June16_02.jpeg,980.000,542.000,1049.292
3,Batch31:framenr_254_framevid_June09_01.jpeg,692.500,668.500,1240.929
4,Batch31:framenr_254_framevid_June12_02.jpeg,105.500,70.500,103.673
5,Batch31:framenr_254_framevid_June16_02.jpeg,986.500,541.500,1058.717
6,Batch31:framenr_255_framevid_June09_01.jpeg,694.500,668.500,1303.761
7,Batch31:framenr_255_framevid_June12_02.jpeg,81.000,63.000,37.699
8,Batch31:framenr_255_framevid_June16_02.jpeg,993.500,534.500,1077.566
9,Batch31:framenr_256_framevid_June09_01.jpeg,690.500,689.500,1222.080
10,Batch31:framenr_256_framevid_June12_02.jpeg,98.000,77.000,50.265
11,Batch31:framenr_256_framevid_June16_02.jpeg,988.500,529.500,1039.867
12,Batch31:framenr_257_framevid_June09_01.jpeg,702.000,696.000,1262.920
13,Batch31:framenr_257_framevid_June12_02.jpeg,74.000,97.000,47.596
14,Batch31:framenr_257_framevid_June16_02.jpeg,1006.500,529.500,1096.416
15,Batch31:framenr_258_framevid_June09_01.jpeg,714.000,697.000,1288.053
16,Batch31:framenr_258_framevid_June12_02.jpeg,78.500,63.500,34.558
17,Batch31:framenr_258_framevid_June16_02.jpeg,1005.000,515.000,1074.425
18,Batch31:framenr_259_framevid_June09_01.jpeg,703.000,711.000,1200.088
19,Batch31:framenr_259_framevid_June12_02.jpeg,65.500,48.500,59.690
20,Batch31:framenr_259_framevid_June16_02.jpeg,1009.000,502.000,1124.690
21,Batch31:framenr_260_framevid_June09_01.jpeg,681.000,714.000,1124.690
22,Batch31:framenr_260_framevid_June12_02.jpeg,75.500,80.500,65.973
23,Batch31:framenr_260_framevid_June16_02.jpeg,1013.500,508.500,1140.398
24,Batch31:framenr_261_framevid_June09_01.jpeg,660.000,681.000,1231.504
25,Batch31:framenr_261_framevid_June12_02.jpeg,110.500,77.500,84.823
26,Batch31:framenr_261_framevid_June16_02.jpeg,1017.500,495.500,1165.531
27,Batch31:framenr_262_framevid_June09_01.jpeg,669.500,663.500,1284.911
28,Batch31:framenr_262_framevid_June12_02.jpeg,98.000,65.000,56.549
29,Batch31:framenr_262_framevid_June16_02.jpeg,1013.000,500.000,1143.540
30,Batch31:framenr_263_framevid_June09_01.jpeg,681.000,642.000,1300.619
31,Batch31:framenr_263_framevid_June12_02.jpeg,1106.000,501.000,1514.248
32,Batch31:framenr_263_framevid_June16_02.jpeg,1020.000,504.000,1187.522
33,Batch31:framenr_264_framevid_June09_01.jpeg,668.500,617.500,1272.345
34,Batch31:framenr_264_framevid_June12_02.jpeg,1097.000,507.000,1627.345
35,Batch31:framenr_264_framevid_June16_02.jpeg,1021.500,508.500,1178.097
36,Batch31:framenr_265_framevid_June09_01.jpeg,657.500,620.500,1222.080
37,Batch31:framenr_265_framevid_June12_02.jpeg,1118.500,498.500,1555.088
38,Batch31:framenr_265_framevid_June16_02.jpeg,1014.000,509.000,1174.956
39,Batch31:framenr_266_framevid_June09_01.jpeg,665.500,598.500,1297.478
40,Batch31:framenr_266_framevid_June12_02.jpeg,1124.000,495.000,1577.080
41,Batch31:framenr_266_framevid_June16_02.jpeg,1006.000,517.000,1149.823
42,Batch31:framenr_267_framevid_June09_01.jpeg,676.500,604.500,1266.062
43,Batch31:framenr_267_framevid_June12_02.jpeg,1138.500,488.500,1536.239
44,Batch31:framenr_267_framevid_June16_02.jpeg,1007.500,518.500,1184.380
45,Batch31:framenr_268_framevid_June09_01.jpeg,685.500,613.500,1196.947
46,Batch31:framenr_268_framevid_June12_02.jpeg,1238.000,487.000,1577.080
47,Batch31:framenr_268_framevid_June16_02.jpeg,998.500,529.500,1146.681
48,Batch31:framenr_269_framevid_June09_01.jpeg,685.000,616.000,1256.637
49,Batch31:framenr_269_framevid_June12_02.jpeg,1240.000,489.000,1570.796
50,Batch31:framenr_269_framevid_June16_02.jpeg,1000.000,530.000,1206.372
