 ,Label,X,Y,Perim.
1,Batch7:framenr_29_framevid_June12_02.jpeg,56.500,40.500,40.841
2,Batch7:framenr_29_framevid_June12_03.jpeg,56.500,40.500,40.841
3,Batch7:framenr_29_framevid_June16_02.jpeg,1006.000,694.000,1055.575
4,Batch7:framenr_29_framevid_June16_07.jpeg,1072.500,532.500,1303.761
5,Batch7:framenr_29_framevid_June16_20.jpeg,977.500,533.500,1077.566
6,Batch7:framenr_30_framevid_June09_01.jpeg,1067.000,459.000,1313.186
7,Batch7:framenr_30_framevid_June09_02.jpeg,671.500,554.500,1586.504
8,Batch7:framenr_30_framevid_June09_03.jpeg,1003.500,684.500,1222.080
9,Batch7:framenr_30_framevid_June12_01.jpeg,1117.500,590.500,914.203
10,Batch7:framenr_30_framevid_June12_02.jpeg,108.500,57.500,47.124
11,Batch7:framenr_30_framevid_June12_03.jpeg,108.500,57.500,47.124
12,Batch7:framenr_30_framevid_June16_02.jpeg,1009.500,727.500,1014.734
13,Batch7:framenr_30_framevid_June16_07.jpeg,1067.000,540.000,1294.336
14,Batch7:framenr_30_framevid_June16_20.jpeg,984.500,542.500,1077.566
15,Batch7:framenr_31_framevid_June09_01.jpeg,1068.500,468.500,1297.478
16,Batch7:framenr_31_framevid_June09_02.jpeg,666.500,550.500,1555.088
17,Batch7:framenr_31_framevid_June09_03.jpeg,1015.500,678.500,1196.947
18,Batch7:framenr_31_framevid_June12_01.jpeg,1121.500,593.500,958.186
19,Batch7:framenr_31_framevid_June12_02.jpeg,102.000,39.000,25.133
20,Batch7:framenr_31_framevid_June12_03.jpeg,102.000,39.000,25.133
21,Batch7:framenr_31_framevid_June16_02.jpeg,1015.000,726.000,1030.442
22,Batch7:framenr_31_framevid_June16_07.jpeg,1064.000,549.000,1262.920
23,Batch7:framenr_31_framevid_June16_20.jpeg,976.500,542.500,1065.000
24,Batch7:framenr_32_framevid_June09_01.jpeg,1082.000,495.000,1231.504
25,Batch7:framenr_32_framevid_June09_02.jpeg,690.500,534.500,1668.186
26,Batch7:framenr_32_framevid_June09_03.jpeg,1023.000,681.000,1181.239
27,Batch7:framenr_32_framevid_June12_01.jpeg,1114.500,599.500,889.071
28,Batch7:framenr_32_framevid_June12_02.jpeg,125.000,41.000,31.416
29,Batch7:framenr_32_framevid_June12_03.jpeg,125.000,41.000,31.416
30,Batch7:framenr_32_framevid_June16_02.jpeg,998.500,738.500,901.637
31,Batch7:framenr_32_framevid_June16_07.jpeg,1071.500,546.500,1272.345
32,Batch7:framenr_32_framevid_June16_20.jpeg,974.500,544.500,1039.867
33,Batch7:framenr_33_framevid_June09_01.jpeg,1057.500,500.500,1316.327
34,Batch7:framenr_33_framevid_June09_02.jpeg,683.500,544.500,1592.787
35,Batch7:framenr_33_framevid_June09_03.jpeg,1023.500,681.500,1140.398
36,Batch7:framenr_33_framevid_June12_01.jpeg,1110.500,603.500,876.504
37,Batch7:framenr_33_framevid_June12_02.jpeg,165.500,53.500,72.257
38,Batch7:framenr_33_framevid_June12_03.jpeg,165.500,53.500,72.257
39,Batch7:framenr_33_framevid_June16_02.jpeg,1009.500,743.500,920.487
40,Batch7:framenr_33_framevid_June16_07.jpeg,1074.500,552.500,1272.345
41,Batch7:framenr_33_framevid_June16_20.jpeg,981.000,546.000,1055.575
42,Batch7:framenr_34_framevid_June09_01.jpeg,1061.000,525.000,1193.805
43,Batch7:framenr_34_framevid_June09_02.jpeg,679.000,552.000,1570.796
44,Batch7:framenr_34_framevid_June09_03.jpeg,1042.500,668.500,1159.248
45,Batch7:framenr_34_framevid_June12_01.jpeg,1136.000,601.000,929.911
46,Batch7:framenr_34_framevid_June12_02.jpeg,99.500,40.500,28.274
47,Batch7:framenr_34_framevid_June12_03.jpeg,99.500,40.500,28.274
48,Batch7:framenr_34_framevid_June16_02.jpeg,1019.500,738.500,958.186
49,Batch7:framenr_34_framevid_June16_07.jpeg,1071.500,555.500,1266.062
50,Batch7:framenr_34_framevid_June16_20.jpeg,974.000,546.000,1036.726
