,frame,x,y,r,namefr,sample_rate
0,1,384,130,37,framenr_1_framevid_green_tree_frog_example,29.97002997002997
1,2,384,130,37,framenr_2_framevid_green_tree_frog_example,29.97002997002997
2,3,482,166,87,framenr_3_framevid_green_tree_frog_example,29.97002997002997
3,4,162,138,65,framenr_4_framevid_green_tree_frog_example,29.97002997002997
4,5,494,120,81,framenr_5_framevid_green_tree_frog_example,29.97002997002997
5,6,374,150,52,framenr_6_framevid_green_tree_frog_example,29.97002997002997
6,7,430,174,74,framenr_7_framevid_green_tree_frog_example,29.97002997002997
7,8,430,174,76,framenr_8_framevid_green_tree_frog_example,29.97002997002997
8,9,528,116,44,framenr_9_framevid_green_tree_frog_example,29.97002997002997
9,10,432,176,75,framenr_10_framevid_green_tree_frog_example,29.97002997002997
10,11,432,174,78,framenr_11_framevid_green_tree_frog_example,29.97002997002997
11,12,106,134,12,framenr_12_framevid_green_tree_frog_example,29.97002997002997
12,13,524,82,9,framenr_13_framevid_green_tree_frog_example,29.97002997002997
13,14,108,132,14,framenr_14_framevid_green_tree_frog_example,29.97002997002997
14,15,NA,NA,NA,framenr_15_framevid_green_tree_frog_example,29.97002997002997
15,16,NA,NA,NA,framenr_16_framevid_green_tree_frog_example,29.97002997002997
16,17,NA,NA,NA,framenr_17_framevid_green_tree_frog_example,29.97002997002997
17,18,NA,NA,NA,framenr_18_framevid_green_tree_frog_example,29.97002997002997
18,19,NA,NA,NA,framenr_19_framevid_green_tree_frog_example,29.97002997002997
19,20,524,84,10,framenr_20_framevid_green_tree_frog_example,29.97002997002997
20,21,NA,NA,NA,framenr_21_framevid_green_tree_frog_example,29.97002997002997
21,22,NA,NA,NA,framenr_22_framevid_green_tree_frog_example,29.97002997002997
22,23,NA,NA,NA,framenr_23_framevid_green_tree_frog_example,29.97002997002997
23,24,NA,NA,NA,framenr_24_framevid_green_tree_frog_example,29.97002997002997
24,25,NA,NA,NA,framenr_25_framevid_green_tree_frog_example,29.97002997002997
25,26,NA,NA,NA,framenr_26_framevid_green_tree_frog_example,29.97002997002997
26,27,NA,NA,NA,framenr_27_framevid_green_tree_frog_example,29.97002997002997
27,28,NA,NA,NA,framenr_28_framevid_green_tree_frog_example,29.97002997002997
28,29,NA,NA,NA,framenr_29_framevid_green_tree_frog_example,29.97002997002997
