 ,Label,X,Y,Perim.
1,Batch1:framenr_1_framevid_June09_01.jpeg,1132.000,402.000,1237.788
2,Batch1:framenr_1_framevid_June09_02.jpeg,671.000,539.000,835.664
3,Batch1:framenr_1_framevid_June09_03.jpeg,82.500,60.500,28.274
4,Batch1:framenr_1_framevid_June12_01.jpeg,1059.500,584.500,719.425
5,Batch1:framenr_1_framevid_June12_02.jpeg,61.500,31.500,9.425
6,Batch1:framenr_1_framevid_June12_03.jpeg,572.000,919.000,911.062
7,Batch1:framenr_1_framevid_June16_02.jpeg,1060.000,543.000,1061.858
8,Batch1:framenr_1_framevid_June16_07.jpeg,1238.000,537.000,898.495
9,Batch1:framenr_1_framevid_June16_20.jpeg,951.000,583.000,1011.593
10,Batch1:framenr_2_framevid_June09_01.jpeg,1143.500,394.500,1247.212
11,Batch1:framenr_2_framevid_June09_02.jpeg,653.000,478.000,923.628
12,Batch1:framenr_2_framevid_June09_03.jpeg,72.000,55.000,31.416
13,Batch1:framenr_2_framevid_June12_01.jpeg,1086.500,580.500,882.788
14,Batch1:framenr_2_framevid_June12_02.jpeg,46.500,40.500,34.558
15,Batch1:framenr_2_framevid_June12_03.jpeg,614.000,898.000,948.761
16,Batch1:framenr_2_framevid_June16_02.jpeg,1059.000,557.000,1030.442
17,Batch1:framenr_2_framevid_June16_07.jpeg,1229.500,529.500,882.788
18,Batch1:framenr_2_framevid_June16_20.jpeg,947.500,578.500,1039.867
19,Batch1:framenr_3_framevid_June09_01.jpeg,1163.000,403.000,1181.239
20,Batch1:framenr_3_framevid_June09_02.jpeg,669.000,453.000,1068.142
21,Batch1:framenr_3_framevid_June09_03.jpeg,273.000,534.000,999.026
22,Batch1:framenr_3_framevid_June12_01.jpeg,1075.000,587.000,810.531
23,Batch1:framenr_3_framevid_June12_02.jpeg,75.500,30.500,21.991
24,Batch1:framenr_3_framevid_June12_03.jpeg,655.000,878.000,967.611
25,Batch1:framenr_3_framevid_June16_02.jpeg,1045.500,574.500,958.186
