 ,Label,X,Y,Perim.
1,Batch14:framenr_72_framevid_June12_03.jpeg,86.500,75.500,53.407
2,Batch14:framenr_72_framevid_June16_02.jpeg,1042.500,693.500,895.354
3,Batch14:framenr_72_framevid_June16_07.jpeg,1046.500,518.500,1190.664
4,Batch14:framenr_72_framevid_June16_20.jpeg,867.000,533.000,1545.664
5,Batch14:framenr_73_framevid_June09_01.jpeg,918.500,482.500,1310.044
6,Batch14:framenr_73_framevid_June09_02.jpeg,833.500,546.500,1504.823
7,Batch14:framenr_73_framevid_June12_02.jpeg,117.000,74.000,75.398
8,Batch14:framenr_73_framevid_June12_03.jpeg,117.000,74.000,75.398
9,Batch14:framenr_73_framevid_June16_02.jpeg,1051.500,691.500,970.752
10,Batch14:framenr_73_framevid_June16_07.jpeg,1064.500,530.500,1190.664
11,Batch14:framenr_73_framevid_June16_20.jpeg,864.000,525.000,1558.230
12,Batch14:framenr_74_framevid_June09_01.jpeg,925.000,513.000,1256.637
13,Batch14:framenr_74_framevid_June09_02.jpeg,803.000,549.000,1325.752
14,Batch14:framenr_74_framevid_June12_02.jpeg,114.000,61.000,50.265
15,Batch14:framenr_74_framevid_June12_03.jpeg,114.000,61.000,50.265
16,Batch14:framenr_74_framevid_June16_02.jpeg,1051.000,690.000,955.044
17,Batch14:framenr_74_framevid_June16_07.jpeg,1093.000,517.000,1225.221
18,Batch14:framenr_74_framevid_June16_20.jpeg,866.500,519.500,1573.938
19,Batch14:framenr_75_framevid_June09_01.jpeg,916.500,567.500,1234.646
20,Batch14:framenr_75_framevid_June09_02.jpeg,802.500,543.500,1341.460
21,Batch14:framenr_75_framevid_June12_02.jpeg,108.500,96.500,97.389
22,Batch14:framenr_75_framevid_June12_03.jpeg,108.500,96.500,97.389
23,Batch14:framenr_75_framevid_June16_02.jpeg,1045.000,681.000,955.044
24,Batch14:framenr_75_framevid_June16_07.jpeg,1073.500,519.500,1152.965
25,Batch14:framenr_75_framevid_June16_20.jpeg,863.000,530.000,1514.248
26,Batch14:framenr_76_framevid_June09_01.jpeg,933.000,588.000,1174.956
27,Batch14:framenr_76_framevid_June09_02.jpeg,801.000,587.000,1181.239
28,Batch14:framenr_76_framevid_June12_02.jpeg,75.500,51.500,21.991
29,Batch14:framenr_76_framevid_June12_03.jpeg,75.500,51.500,21.991
30,Batch14:framenr_76_framevid_June16_02.jpeg,1033.500,684.500,889.071
31,Batch14:framenr_76_framevid_June16_07.jpeg,1065.000,527.000,1130.973
32,Batch14:framenr_76_framevid_June16_20.jpeg,865.000,530.000,1501.681
33,Batch14:framenr_77_framevid_June09_01.jpeg,948.500,591.500,1165.531
34,Batch14:framenr_77_framevid_June09_02.jpeg,807.500,580.500,1215.796
35,Batch14:framenr_77_framevid_June12_02.jpeg,78.000,93.000,50.265
36,Batch14:framenr_77_framevid_June12_03.jpeg,78.000,93.000,50.265
37,Batch14:framenr_77_framevid_June16_02.jpeg,1050.000,667.000,973.894
38,Batch14:framenr_77_framevid_June16_07.jpeg,1075.000,523.000,1174.956
39,Batch14:framenr_77_framevid_June16_20.jpeg,871.500,527.500,1485.973
40,Batch14:framenr_78_framevid_June09_01.jpeg,946.500,609.500,1134.115
41,Batch14:framenr_78_framevid_June09_02.jpeg,802.000,569.000,1281.770
42,Batch14:framenr_78_framevid_June12_02.jpeg,110.000,98.000,43.982
43,Batch14:framenr_78_framevid_June12_03.jpeg,110.000,98.000,43.982
44,Batch14:framenr_78_framevid_June16_02.jpeg,1039.500,676.500,939.336
45,Batch14:framenr_78_framevid_June16_07.jpeg,1068.000,531.000,1124.690
46,Batch14:framenr_78_framevid_June16_20.jpeg,869.000,530.000,1476.549
47,Batch14:framenr_79_framevid_June09_01.jpeg,947.500,633.500,1065.000
48,Batch14:framenr_79_framevid_June09_02.jpeg,777.500,587.500,1178.097
49,Batch14:framenr_79_framevid_June12_02.jpeg,122.000,71.000,37.699
50,Batch14:framenr_79_framevid_June12_03.jpeg,122.000,71.000,37.699
