 ,Label,X,Y,Perim.
1,Batch27:framenr_186_framevid_June16_02.jpeg,1023.000,709.000,892.212
2,Batch27:framenr_187_framevid_June09_01.jpeg,864.500,536.500,1234.646
3,Batch27:framenr_187_framevid_June12_02.jpeg,1104.000,485.000,1281.770
4,Batch27:framenr_187_framevid_June16_02.jpeg,1028.000,700.000,917.345
5,Batch27:framenr_188_framevid_June09_01.jpeg,863.500,530.500,1228.363
6,Batch27:framenr_188_framevid_June12_02.jpeg,1101.500,467.500,1316.327
7,Batch27:framenr_188_framevid_June16_02.jpeg,1032.000,679.000,917.345
8,Batch27:framenr_189_framevid_June09_01.jpeg,862.500,534.500,1234.646
9,Batch27:framenr_189_framevid_June12_02.jpeg,1096.500,459.500,1310.044
10,Batch27:framenr_189_framevid_June16_02.jpeg,1022.000,625.000,911.062
11,Batch27:framenr_190_framevid_June09_01.jpeg,853.000,530.000,1294.336
12,Batch27:framenr_190_framevid_June12_02.jpeg,1099.500,450.500,1284.911
13,Batch27:framenr_190_framevid_June16_02.jpeg,1018.500,585.500,964.469
14,Batch27:framenr_191_framevid_June09_01.jpeg,856.500,536.500,1328.894
15,Batch27:framenr_191_framevid_June12_02.jpeg,1106.000,445.000,1319.469
16,Batch27:framenr_191_framevid_June16_02.jpeg,1032.500,585.500,1033.584
17,Batch27:framenr_192_framevid_June09_01.jpeg,867.000,558.000,1325.752
18,Batch27:framenr_192_framevid_June12_02.jpeg,1113.500,441.500,1303.761
19,Batch27:framenr_192_framevid_June16_02.jpeg,1041.500,597.500,1008.451
20,Batch27:framenr_193_framevid_June09_01.jpeg,864.500,597.500,1303.761
21,Batch27:framenr_193_framevid_June12_02.jpeg,1113.000,441.000,1306.903
22,Batch27:framenr_193_framevid_June16_02.jpeg,1057.000,624.000,1005.310
23,Batch27:framenr_194_framevid_June09_01.jpeg,862.500,638.500,1190.664
24,Batch27:framenr_194_framevid_June12_02.jpeg,1118.000,438.000,1244.071
25,Batch27:framenr_194_framevid_June16_02.jpeg,1055.500,621.500,970.752
26,Batch27:framenr_195_framevid_June09_01.jpeg,857.000,669.000,1193.805
27,Batch27:framenr_195_framevid_June12_02.jpeg,79.500,65.500,53.407
28,Batch27:framenr_195_framevid_June16_02.jpeg,1052.500,621.500,1008.451
29,Batch27:framenr_196_framevid_June09_01.jpeg,863.500,702.500,1184.380
30,Batch27:framenr_196_framevid_June12_02.jpeg,87.000,58.000,37.699
31,Batch27:framenr_196_framevid_June16_02.jpeg,1038.000,626.000,948.761
32,Batch27:framenr_197_framevid_June09_01.jpeg,68.500,34.500,53.407
33,Batch27:framenr_197_framevid_June12_02.jpeg,68.500,34.500,53.407
34,Batch27:framenr_197_framevid_June16_02.jpeg,1054.000,627.000,986.460
35,Batch27:framenr_198_framevid_June09_01.jpeg,915.500,788.500,1096.416
36,Batch27:framenr_198_framevid_June12_02.jpeg,63.000,55.000,56.549
37,Batch27:framenr_198_framevid_June16_02.jpeg,1049.500,641.500,933.053
38,Batch27:framenr_199_framevid_June09_01.jpeg,937.000,822.000,1030.442
39,Batch27:framenr_199_framevid_June12_02.jpeg,90.500,52.500,21.991
40,Batch27:framenr_199_framevid_June16_02.jpeg,1057.000,638.000,948.761
41,Batch27:framenr_200_framevid_June09_01.jpeg,979.500,860.500,926.770
42,Batch27:framenr_200_framevid_June12_02.jpeg,87.500,51.500,21.991
43,Batch27:framenr_200_framevid_June16_02.jpeg,1058.000,644.000,948.761
44,Batch27:framenr_201_framevid_June09_01.jpeg,982.500,879.500,1058.717
45,Batch27:framenr_201_framevid_June12_02.jpeg,136.500,79.500,21.991
46,Batch27:framenr_201_framevid_June16_02.jpeg,1058.500,640.500,933.053
47,Batch27:framenr_202_framevid_June09_01.jpeg,90.500,41.500,40.841
48,Batch27:framenr_202_framevid_June12_02.jpeg,90.500,41.500,40.841
49,Batch27:framenr_202_framevid_June16_02.jpeg,1053.000,646.000,898.495
50,Batch27:framenr_203_framevid_June09_01.jpeg,79.500,58.500,28.274
