 ,Label,X,Y,Perim.
1,Batch9:framenr_40_framevid_June12_03.jpeg,68.000,36.000,50.265
2,Batch9:framenr_40_framevid_June16_02.jpeg,1035.500,686.500,1008.451
3,Batch9:framenr_40_framevid_June16_07.jpeg,1079.500,554.500,1272.345
4,Batch9:framenr_40_framevid_June16_20.jpeg,967.500,559.500,1033.584
5,Batch9:framenr_41_framevid_June09_01.jpeg,982.500,535.500,1039.867
6,Batch9:framenr_41_framevid_June09_02.jpeg,684.500,550.500,1567.655
7,Batch9:framenr_41_framevid_June09_03.jpeg,1032.500,654.500,1171.814
8,Batch9:framenr_41_framevid_June12_01.jpeg,1180.000,589.000,823.097
9,Batch9:framenr_41_framevid_June12_02.jpeg,107.500,25.500,59.690
10,Batch9:framenr_41_framevid_June12_03.jpeg,107.500,25.500,59.690
11,Batch9:framenr_41_framevid_June16_02.jpeg,1055.500,693.500,1083.849
12,Batch9:framenr_41_framevid_June16_07.jpeg,1059.500,560.500,1222.080
13,Batch9:framenr_41_framevid_June16_20.jpeg,966.500,557.500,1046.150
14,Batch9:framenr_42_framevid_June09_01.jpeg,981.000,533.000,1049.292
15,Batch9:framenr_42_framevid_June09_02.jpeg,675.000,575.000,1489.115
16,Batch9:framenr_42_framevid_June09_03.jpeg,1009.000,643.000,1156.106
17,Batch9:framenr_42_framevid_June12_01.jpeg,1183.000,572.000,797.965
18,Batch9:framenr_42_framevid_June12_02.jpeg,97.000,50.000,50.265
19,Batch9:framenr_42_framevid_June12_03.jpeg,97.000,50.000,50.265
20,Batch9:framenr_42_framevid_June16_02.jpeg,1072.500,706.500,1096.416
21,Batch9:framenr_42_framevid_June16_07.jpeg,1068.500,558.500,1266.062
22,Batch9:framenr_42_framevid_June16_20.jpeg,965.500,546.500,1071.283
23,Batch9:framenr_43_framevid_June09_01.jpeg,966.500,551.500,1140.398
24,Batch9:framenr_43_framevid_June09_02.jpeg,676.000,583.000,1507.964
25,Batch9:framenr_43_framevid_June09_03.jpeg,986.000,623.000,1193.805
26,Batch9:framenr_43_framevid_June12_01.jpeg,1211.000,572.000,980.177
27,Batch9:framenr_43_framevid_June12_02.jpeg,74.000,54.000,43.982
28,Batch9:framenr_43_framevid_June12_03.jpeg,74.000,54.000,43.982
29,Batch9:framenr_43_framevid_June16_02.jpeg,1062.000,724.000,1017.876
30,Batch9:framenr_43_framevid_June16_07.jpeg,1067.500,558.500,1266.062
31,Batch9:framenr_43_framevid_June16_20.jpeg,972.000,538.000,1137.257
32,Batch9:framenr_44_framevid_June09_01.jpeg,969.500,546.500,1102.699
33,Batch9:framenr_44_framevid_June09_02.jpeg,676.000,579.000,1551.947
34,Batch9:framenr_44_framevid_June09_03.jpeg,966.000,629.000,1294.336
35,Batch9:framenr_44_framevid_June12_01.jpeg,1210.500,556.500,989.602
36,Batch9:framenr_44_framevid_June12_02.jpeg,76.500,47.500,53.407
37,Batch9:framenr_44_framevid_June12_03.jpeg,76.500,47.500,53.407
38,Batch9:framenr_44_framevid_June16_02.jpeg,1069.500,744.500,1008.451
39,Batch9:framenr_44_framevid_June16_07.jpeg,1054.000,569.000,1206.372
40,Batch9:framenr_44_framevid_June16_20.jpeg,968.000,556.000,1036.726
41,Batch9:framenr_45_framevid_June09_01.jpeg,973.000,557.000,1118.407
42,Batch9:framenr_45_framevid_June09_02.jpeg,681.500,576.500,1592.787
43,Batch9:framenr_45_framevid_June09_03.jpeg,901.500,611.500,1278.628
44,Batch9:framenr_45_framevid_June12_01.jpeg,1229.000,573.000,1105.841
45,Batch9:framenr_45_framevid_June12_02.jpeg,74.500,56.500,59.690
46,Batch9:framenr_45_framevid_June12_03.jpeg,74.500,56.500,59.690
47,Batch9:framenr_45_framevid_June16_02.jpeg,1066.500,741.500,989.602
48,Batch9:framenr_45_framevid_June16_07.jpeg,1050.000,569.000,1206.372
49,Batch9:framenr_45_framevid_June16_20.jpeg,971.500,529.500,1171.814
50,Batch9:framenr_46_framevid_June09_01.jpeg,988.500,552.500,1033.584
