,frame,x,y,r,name,sample_rate
0,1,1688,664,214,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
1,2,1658,700,230,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
2,3,1340,424,183,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
3,4,1280,394,192,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
4,5,1634,616,164,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
5,6,1638,698,202,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
6,7,1646,704,208,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
7,8,1312,496,214,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
8,9,1604,674,220,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
9,10,1642,690,184,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
10,11,298,722,194,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
11,12,1528,708,186,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
12,13,1318,490,206,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
13,14,554,350,170,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
14,15,574,202,145,framenr_15_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
15,16,1306,492,218,framenr_16_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
16,17,1310,416,192,framenr_17_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
17,18,1336,458,148,framenr_18_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
18,19,1320,466,153,framenr_19_framevid__Opp_June_16_Session_1_zoom_syncedboom_81_44_19_fajar,25.0
