,frame,x,y,r,name,sample_rate
0,1,266,548,184,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
1,2,364,450,218,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
2,3,220,432,212,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
3,4,348,438,220,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
4,5,758,394,199,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
5,6,308,526,208,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
6,7,296,558,118,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
7,8,748,350,163,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
8,9,192,802,124,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
9,10,314,534,212,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
10,11,288,568,121,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
11,12,282,568,128,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
12,13,260,656,184,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
13,14,646,334,80,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_51_21_fajar,25.0
