Filename,Begin Time - msec,End Time - msec,inflation_cycle,scene,individual
Opp_August_14_Session_1_zoom_syncedboom,362750,363145,1,1,Fajar
Opp_August_14_Session_1_zoom_syncedboom,993080,993665,2,2,Fajar
Opp_August_14_Session_1_zoom_syncedboom,994350,994640,3,2,Fajar
Opp_August_14_Session_1_zoom_syncedboom,995128,995813,4,2,Fajar
Opp_August_14_Session_1_zoom_syncedboom,1055050,1055600,5,3,Fajar
Opp_August_18_Session_1_zoom_syncedboom,324010,324500,1,1,Pelangi
Opp_August_18_Session_1_zoom_syncedboom,386675,387050,2,2,Roger
Opp_August_18_Session_1_zoom_syncedboom,442075,442585,3,3,Roger
Opp_August_18_Session_1_zoom_syncedboom,459640,460060,4,4,Roger
Opp_August_18_Session_1_zoom_syncedboom,753670,753980,5,5,Fajar
Opp_August_20_Session_1_zoom_syncedboom,487840,488370,1,1,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,534719,535139,2,2,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,605213,605786,3,3,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,606373,607013,4,3,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,607906,608332,5,3,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,640906,641386,6,4,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,673640,674246,7,5,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,732826,733500,8,6,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,833860,834246,9,7,Pelangi
Opp_August_26_Session_1_zoom_syncedboom,307710,308100,1,1,Roger
Opp_August_29_Session_1_zoom_syncedboom,271920,272390,1,1,Roger
Opp_August_29_Session_1_zoom_syncedboom,287080,287620,2,1,Roger
Opp_August_29_Session_1_zoom_syncedboom,383790,384340,3,2,Roger
Opp_August_29_Session_1_zoom_syncedboom,400150,400600,4,2,Roger
Opp_August_29_Session_1_zoom_syncedboom,867280,867850,5,3,Roger
Opp_August_29_Session_1_zoom_syncedboom,911870,912460,6,4,Pelangi
Opp_August_29_Session_1_zoom_syncedboom,1313525,1314065,7,5,Fajar
Opp_August_29_Session_1_zoom_syncedboom,1316190,1316930,8,5,Fajar
Opp_June_13_Session_1_zoom_syncedboom,1176430,1177120,1,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1181240,1182010,2,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1182740,1183320,3,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1183475,1184205,4,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1185300,1185800,5,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1191240,1191660,6,2,Baju
Opp_June_13_Session_1_zoom_syncedboom,1259280,1260100,7,3,Baju
Opp_June_13_Session_1_zoom_syncedboom,1268650,1269010,8,4,Baju
Opp_June_15_Session_1_zoom_syncedboom,310800,311260,1,1,fajar
Opp_June_15_Session_1_zoom_syncedboom,523570,524140,2,2,Pelangi
