,frame,x,y,r,name,sample_rate
0,1,1366,396,144,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
1,2,1314,814,213,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
2,3,860,542,215,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
3,4,1332,414,182,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
4,5,856,556,220,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
5,6,854,560,223,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
6,7,848,566,216,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
7,8,1552,242,93,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
8,9,864,550,240,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
9,10,860,548,242,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
10,11,1376,388,138,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
11,12,1568,338,194,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
12,13,1376,390,138,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
13,14,1614,508,247,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
14,15,1612,506,247,framenr_15_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
15,16,1608,502,249,framenr_16_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
16,17,1610,502,247,framenr_17_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
17,18,1606,494,246,framenr_18_framevid__Opp_June_16_Session_1_zoom_syncedboom_20_11_roger,25.0
