,frame,x,y,r,name,sample_rate
0,1,280,250,243,framenr_1_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
1,2,1620,460,240,framenr_2_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
2,3,272,238,239,framenr_3_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
3,4,1778,612,139,framenr_4_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
4,5,276,248,245,framenr_5_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
5,6,284,222,222,framenr_6_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
6,7,312,200,189,framenr_7_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
7,8,266,230,239,framenr_8_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
8,9,1524,414,95,framenr_9_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
9,10,1736,476,154,framenr_10_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
10,11,278,226,228,framenr_11_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
11,12,278,230,230,framenr_12_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
12,13,1750,212,222,framenr_13_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
13,14,262,224,233,framenr_14_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
14,15,1658,240,207,framenr_15_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
15,16,1476,712,196,framenr_16_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
16,17,256,218,228,framenr_17_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
17,18,270,272,249,framenr_18_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
18,19,258,208,218,framenr_19_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
19,20,258,236,232,framenr_20_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
20,21,1728,492,168,framenr_21_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
21,22,244,248,249,framenr_22_framevid__Opp_August_29_Session_1_zoom_syncedboom_4_2_Roger,50.0
